Status,Barnesiellaceae.,Mogibacteriaceae.,Odoribacteraceae.Butyricimonas,Odoribacteraceae.Odoribacter,Tissierellaceae.1.68,Tissierellaceae.Anaerococcus,Tissierellaceae.Finegoldia,Tissierellaceae.Peptoniphilus,Tissierellaceae.ph2,Tissierellaceae.WAL_1855D,Actinomycetaceae.Actinomyces,Actinomycetaceae.Mobiluncus,Actinomycetaceae.Varibaculum,Aerococcaceae.Aerococcus,Alcaligenaceae.Sutterella,Bacillaceae.Bacillus,Bacteroidaceae.Bacteroides,Bifidobacteriaceae.,Bifidobacteriaceae.Bifidobacterium,Bifidobacteriaceae.Gardnerella,Campylobacteraceae.Campylobacter,Carnobacteriaceae.Granulicatella,Christensenellaceae.,Clostridiaceae.,Clostridiaceae.02d06,Clostridiaceae.Clostridium,Clostridiaceae.Sarcina,Clostridiaceae.SMB53,Comamonadaceae.,Coriobacteriaceae.,Coriobacteriaceae.Atopobium,Coriobacteriaceae.Collinsella,Coriobacteriaceae.Eggerthella,Corynebacteriaceae.Corynebacterium,Desulfovibrionaceae.Bilophila,Desulfovibrionaceae.Desulfovibrio,Enterobacteriaceae.,Enterobacteriaceae.Aquamonas,Enterobacteriaceae.Citrobacter,Enterobacteriaceae.Enterobacter,Enterobacteriaceae.Erwinia,Enterobacteriaceae.Klebsiella,Enterobacteriaceae.Pantoea,Enterobacteriaceae.Plesiomonas,Enterobacteriaceae.Proteus,Enterobacteriaceae.Raoultella,Enterobacteriaceae.Salmonella,Enterobacteriaceae.Serratia,Enterococcaceae.Enterococcus,Erysipelotrichaceae.,Erysipelotrichaceae.Eubacterium.,Erysipelotrichaceae.Clostridium,Erysipelotrichaceae.Coprobacillus,Erysipelotrichaceae.Holdemania,Fusobacteriaceae.Fusobacterium,Gemellaceae.,Lachnospiraceae.,Lachnospiraceae.Ruminococcus.,Lachnospiraceae.Anaerostipes,Lachnospiraceae.Blautia,Lachnospiraceae.Clostridium,Lachnospiraceae.Coprococcus,Lachnospiraceae.Dorea,Lachnospiraceae.Epulopiscium,Lachnospiraceae.Lachnobacterium,Lachnospiraceae.Lachnospira,Lachnospiraceae.Roseburia,Lactobacillaceae.Lactobacillus,Listeriaceae.Listeria,Micrococcaceae.Rothia,Moraxellaceae.Acinetobacter,Moraxellaceae.Enhydrobacter,Oxalobacteraceae.,Pasteurellaceae.,Pasteurellaceae.Aggregatibacter,Pasteurellaceae.Haemophilus,Peptostreptococcaceae.,Peptostreptococcaceae.Clostridium.,Planococcaceae.,Porphyromonadaceae.Dysgonomonas,Porphyromonadaceae.Parabacteroides,Porphyromonadaceae.Porphyromonas,Prevotellaceae.Prevotella,Pseudomonadaceae.,Pseudomonadaceae.Pseudomonas,Rikenellaceae.,Ruminococcaceae.,Ruminococcaceae.Anaerotruncus,Ruminococcaceae.Faecalibacterium,Ruminococcaceae.Oscillospira,Ruminococcaceae.Ruminococcus,S24.7.,Sphingomonadaceae.Sphingomonas,Staphylococcaceae.Staphylococcus,Streptococcaceae.Lactococcus,Streptococcaceae.Streptococcus,Turicibacteraceae.Turicibacter,Veillonellaceae.,Veillonellaceae.Acidaminococcus,Veillonellaceae.Dialister,Veillonellaceae.Megasphaera,Veillonellaceae.Phascolarctobacterium,Veillonellaceae.Veillonella,Verrucomicrobiaceae.Akkermansia,Xanthomonadaceae.,Xanthomonadaceae.Stenotrophomonas
Cesarean,1.6780196293114533e-5,3.80734397770713e-5,1.6780196293114533e-5,1.6780196293114533e-5,1.6780196293114533e-5,1.6780196293114533e-5,1.6780196293114533e-5,1.6780196293114533e-5,1.6780196293114533e-5,1.6780196293114533e-5,1.6780196293114533e-5,1.6780196293114533e-5,1.6780196293114533e-5,1.6780196293114533e-5,0.09735378550997133,1.6780196293114533e-5,8.376156750955686e-4,1.6780196293114533e-5,0.055663368954078245,1.6780196293114533e-5,1.6780196293114533e-5,3.80734397770713e-5,1.6780196293114533e-5,0.001903671988853565,1.6780196293114533e-5,0.03045875182165704,1.6780196293114533e-5,1.6780196293114533e-5,1.6780196293114533e-5,3.80734397770713e-5,1.6780196293114533e-5,0.002284406386624278,3.80734397770713e-5,1.6780196293114533e-5,0.007233953557643547,1.6780196293114533e-5,0.006548631641656265,1.6780196293114533e-5,7.61468795541426e-5,3.80734397770713e-5,1.6780196293114533e-5,1.1422031933121391e-4,1.6780196293114533e-5,1.6780196293114533e-5,3.045875182165704e-4,1.6780196293114533e-5,3.80734397770713e-5,1.6780196293114533e-5,1.6780196293114533e-5,0.03666472250531966,1.522937591082852e-4,1.6780196293114533e-5,3.80734397770713e-5,1.6780196293114533e-5,1.6780196293114533e-5,3.80734397770713e-5,0.10843315648509907,0.01869405893054201,1.6780196293114533e-5,0.03712160378264452,1.6780196293114533e-5,0.02078809811828093,0.011307811613790176,1.6780196293114533e-5,1.6780196293114533e-5,0.09152854922407941,0.026080306247293843,7.61468795541426e-5,1.6780196293114533e-5,1.6780196293114533e-5,3.80734397770713e-5,1.6780196293114533e-5,1.6780196293114533e-5,1.6780196293114533e-5,1.6780196293114533e-5,0.00936606618515954,2.2844063866242782e-4,3.80734397770713e-5,1.6780196293114533e-5,3.8073439777071305e-4,3.80734397770713e-5,1.6780196293114533e-5,0.0017133047899682086,1.6780196293114533e-5,1.6780196293114533e-5,0.046716110606466486,0.03358077388337689,1.6780196293114533e-5,0.26712325347593224,0.016485799423471875,0.030572972140988256,1.6780196293114533e-5,1.6780196293114533e-5,1.6780196293114533e-5,1.6780196293114533e-5,0.008414230190732758,1.6780196293114533e-5,1.6780196293114533e-5,0.004606886213025628,0.022615623227580352,3.80734397770713e-5,1.6780196293114533e-5,0.00293165486283449,1.9036719888535652e-4,1.6780196293114533e-5,1.6780196293114533e-5
Cesarean,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,2.186052580880388e-4,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,0.012897710227194291,1.6776810686222386e-5,4.372105161760776e-4,1.6776810686222386e-5,0.22778667892773646,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,0.014209341775722523,1.6776810686222386e-5,1.6776810686222386e-5,4.372105161760776e-4,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,6.558157742641165e-4,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,0.008744210323521554,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,0.06667460371685184,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,4.372105161760776e-4,1.6776810686222386e-5,0.0782606823955179,0.1482143649836903,1.6776810686222386e-5,0.12307476030356586,1.6776810686222386e-5,0.00743257877499332,0.008525605065433515,2.186052580880388e-4,1.6776810686222386e-5,0.027325657261004853,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,0.010711657646313905,0.0015302368066162715,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,0.00743257877499332,4.372105161760776e-4,1.6776810686222386e-5,1.6776810686222386e-5,1.6776810686222386e-5,2.186052580880388e-4,1.6776810686222386e-5,0.019237262711747416,1.6776810686222386e-5,1.6776810686222386e-5,0.019455867969835457,0.0010930262904401942,1.6776810686222386e-5,0.1385957336278166,1.6776810686222386e-5,0.015302368066162718,1.6776810686222386e-5,0.0019674473227923495,0.014427947033810562,0.002623263097056466,0.009837236613961747,1.6776810686222386e-5,1.6776810686222386e-5,0.008744210323521554,1.6776810686222386e-5,2.186052580880388e-4,1.6776810686222386e-5,0.01617678909851487,1.6776810686222386e-5,0.005246526194112932,1.6776810686222386e-5
Cesarean,1.678047842702221e-5,1.678047842702221e-5,1.678047842702221e-5,1.678047842702221e-5,1.678047842702221e-5,1.678047842702221e-5,1.678047842702221e-5,1.678047842702221e-5,1.678047842702221e-5,1.678047842702221e-5,1.482527379035567e-4,1.678047842702221e-5,1.678047842702221e-5,1.678047842702221e-5,1.678047842702221e-5,1.678047842702221e-5,1.976703172047423e-4,9.883515860237114e-5,0.48701024401318377,1.678047842702221e-5,1.678047842702221e-5,1.678047842702221e-5,1.678047842702221e-5,0.016752559383101908,1.678047842702221e-5,0.011267208080670308,1.678047842702221e-5,1.678047842702221e-5,1.678047842702221e-5,1.678047842702221e-5,1.678047842702221e-5,1.678047842702221e-5,6.424285309154123e-4,1.678047842702221e-5,1.678047842702221e-5,1.482527379035567e-4,0.08944581853514588,1.482527379035567e-4,0.0011860219032284536,0.005337098564528041,9.883515860237114e-5,0.009735263122333556,1.678047842702221e-5,4.941757930118557e-5,1.678047842702221e-5,1.678047842702221e-5,4.941757930118557e-5,1.678047842702221e-5,5.930109516142268e-4,0.18294387857298897,0.0016307801169391238,0.002767384440866392,1.678047842702221e-5,1.678047842702221e-5,4.941757930118557e-5,4.941757930118557e-5,0.0069184611021659796,0.0890010603214352,1.678047842702221e-5,0.0023720438064569072,1.678047842702221e-5,9.883515860237114e-5,0.004991175509419742,1.976703172047423e-4,1.678047842702221e-5,4.941757930118557e-5,0.003755736026890103,1.482527379035567e-4,1.678047842702221e-5,1.482527379035567e-4,1.482527379035567e-4,1.678047842702221e-5,1.678047842702221e-5,4.941757930118557e-5,4.941757930118557e-5,8.400988481201547e-4,4.4475821371067016e-4,0.010031768598140669,1.678047842702221e-5,1.678047842702221e-5,9.883515860237114e-5,1.678047842702221e-5,1.678047842702221e-5,1.678047842702221e-5,4.941757930118557e-5,3.953406344094846e-4,1.678047842702221e-5,1.678047842702221e-5,4.941757930118557e-5,0.009784680701634742,5.930109516142268e-4,1.678047842702221e-5,1.678047842702221e-5,1.678047842702221e-5,1.678047842702221e-5,0.012453229983898764,1.678047842702221e-5,1.678047842702221e-5,1.678047842702221e-5,1.678047842702221e-5,4.941757930118557e-5,1.678047842702221e-5,0.04566184327429546,2.965054758071134e-4,1.678047842702221e-5,1.678047842702221e-5
Cesarean,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,0.0048587969494372765,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.5673538546571864e-4,7.314317988400201e-4,1.6777939221853102e-5,8.881671843057388e-4,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,7.314317988400201e-4,1.6777939221853102e-5,0.08599548149219095,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,0.4222451284446459,1.5673538546571864e-4,5.224512848857286e-5,0.008620446200614524,3.6571589942001006e-4,0.00637390567560589,1.0449025697714572e-4,1.6777939221853102e-5,0.06253741880082173,1.6777939221853102e-5,9.404123127943117e-4,3.6571589942001006e-4,5.224512848857288e-4,1.0449025697714572e-4,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,3.6571589942001006e-4,2.612256424428644e-4,2.612256424428644e-4,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.0449025697714572e-4,5.224512848857286e-5,1.6777939221853102e-5,1.0449025697714572e-4,5.224512848857286e-5,5.224512848857286e-5,1.6777939221853102e-5,1.6777939221853102e-5,0.0026122564244286436,1.6777939221853102e-5,0.18588816716234227,1.6777939221853102e-5,1.6777939221853102e-5,3.134707709314373e-4,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.0449025697714572e-4,5.224512848857286e-5,1.6777939221853102e-5,5.224512848857286e-5,5.224512848857286e-5,5.224512848857286e-5,1.6777939221853102e-5,1.6777939221853102e-5,0.021107031909383442,1.6777939221853102e-5,0.02836910476929507,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,5.224512848857286e-5,1.0449025697714572e-4,1.6777939221853102e-5,0.1631092911413245,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5
Cesarean,1.6779067757483814e-5,1.6779067757483814e-5,1.6779067757483814e-5,1.6779067757483814e-5,1.6779067757483814e-5,1.6779067757483814e-5,7.373352516547082e-5,0.0010322693523165914,1.6779067757483814e-5,1.6779067757483814e-5,1.6779067757483814e-5,1.6779067757483814e-5,1.6779067757483814e-5,1.6779067757483814e-5,1.6779067757483814e-5,0.0013272034529784747,0.021677656398648423,5.161346761582957e-4,0.0016958710788058289,1.6779067757483814e-5,1.6779067757483814e-5,1.6779067757483814e-5,1.6779067757483814e-5,8.11068776820179e-4,1.6779067757483814e-5,0.0010322693523165914,1.6779067757483814e-5,1.6779067757483814e-5,0.0021382722297986537,0.004718945610590133,1.6779067757483814e-5,3.686676258273541e-4,1.6779067757483814e-5,0.009364157696014794,1.6779067757483814e-5,0.001622137553640358,0.8496314104817203,1.6779067757483814e-5,1.6779067757483814e-5,1.6779067757483814e-5,1.6779067757483814e-5,0.0010322693523165914,1.6779067757483814e-5,1.6779067757483814e-5,1.6779067757483814e-5,1.6779067757483814e-5,7.373352516547082e-5,1.4746705033094165e-4,1.6779067757483814e-5,1.6779067757483814e-5,1.6779067757483814e-5,1.6779067757483814e-5,1.6779067757483814e-5,0.0011797364026475332,1.6779067757483814e-5,1.6779067757483814e-5,0.009142957120518382,0.0022857392801295955,1.6779067757483814e-5,0.002949341006618833,1.6779067757483814e-5,0.0019908051794677124,7.373352516547082e-5,1.6779067757483814e-5,1.6779067757483814e-5,1.6779067757483814e-5,1.6779067757483814e-5,0.003244275107280716,1.6779067757483814e-5,1.6779067757483814e-5,0.002212005754964125,0.0022857392801295955,0.0016958710788058289,1.6779067757483814e-5,1.6779067757483814e-5,1.6779067757483814e-5,1.6779067757483814e-5,1.6779067757483814e-5,0.00361294273310807,1.6779067757483814e-5,0.0019170716543022413,1.6779067757483814e-5,1.6779067757483814e-5,1.6779067757483814e-5,0.0016958710788058289,1.6779067757483814e-5,0.008036954243036321,1.6779067757483814e-5,0.002212005754964125,0.0028018739562878916,0.002212005754964125,0.023668461578116133,0.009585358271511208,0.00442401150992825,1.6779067757483814e-5,0.012313498702633626,1.6779067757483814e-5,1.6779067757483814e-5,1.6779067757483814e-5,1.6779067757483814e-5,2.949341006618833e-4,2.2120057549641247e-4,4.4240115099282494e-4,1.6779067757483814e-5,7.373352516547082e-5,0.0011060028774820625
Cesarean,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,0.023550674025420448,1.6777939221853102e-5,0.1728321188051106,1.6777939221853102e-5,0.0031909602508669826,1.6777939221853102e-5,1.6777939221853102e-5,3.468435055290199e-5,4.508965571877258e-4,0.0017689018781980013,1.6777939221853102e-5,1.3873740221160796e-4,1.6777939221853102e-5,1.6777939221853102e-5,3.468435055290199e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.3873740221160796e-4,1.6777939221853102e-5,1.6777939221853102e-5,0.0022197984353857273,1.6777939221853102e-5,2.427904538703139e-4,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,0.0036765411586076103,0.0010405305165870594,1.6777939221853102e-5,2.427904538703139e-4,0.0018035862287509032,1.6777939221853102e-5,3.468435055290199e-5,0.1153254655883991,0.006555342254498476,1.6777939221853102e-5,0.019631342412942523,3.468435055290199e-5,0.015642642099358794,0.01012783036144738,1.6777939221853102e-5,1.6777939221853102e-5,0.057125125360629574,0.017238122224792287,3.468435055290199e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.7342175276450992e-4,7.630557121638437e-4,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,6.936870110580398e-5,1.6777939221853102e-5,3.468435055290199e-5,1.6777939221853102e-5,1.6777939221853102e-5,0.08251406996535382,0.03936673787754375,0.0012833209704573734,0.36994328299725254,0.011653941785775066,0.039158631774226335,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,2.774748044232159e-4,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,1.6777939221853102e-5,3.468435055290199e-5,1.6777939221853102e-5,1.7342175276450992e-4,3.121591549761178e-4,1.6777939221853102e-5,1.6777939221853102e-5
Cesarean,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,5.686588319477999e-4,0.02646450717910915,1.6779349891391495e-5,0.2443045828021894,1.6779349891391495e-5,0.00358692493997843,4.3742987072907686e-5,4.3742987072907686e-5,1.6779349891391495e-5,4.374298707290768e-4,0.01342909703138266,1.6779349891391495e-5,2.187149353645384e-4,1.6779349891391495e-5,1.6779349891391495e-5,4.3742987072907686e-5,1.6779349891391495e-5,1.6779349891391495e-5,9.62345715603969e-4,2.187149353645384e-4,1.6779349891391495e-5,0.005599102345332184,1.6779349891391495e-5,8.748597414581536e-4,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,0.014128984824549181,0.005642845332405091,1.3122896121872305e-4,0.0014872615604788612,0.002493350263155738,1.6779349891391495e-5,1.6779349891391495e-5,0.1007838422159793,0.017847138725746337,1.6779349891391495e-5,0.001793462469989215,1.6779349891391495e-5,0.03070757692518119,0.016272391191121657,1.6779349891391495e-5,1.6779349891391495e-5,0.012597980276997413,0.002887037146811907,0.0016184905216975842,1.6779349891391495e-5,1.6779349891391495e-5,0.0014435185734059535,8.748597414581537e-5,2.624579224374461e-4,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,4.3742987072907686e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,6.561448060936152e-4,5.686588319477999e-4,0.09995272546159405,0.021609035614016395,0.0014872615604788612,0.24802273670338654,0.01775965275160052,0.07725011517075497,1.6779349891391495e-5,4.374298707290768e-4,1.6779349891391495e-5,1.6779349891391495e-5,0.006211504164352891,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,4.3742987072907686e-5,1.6779349891391495e-5,1.6779349891391495e-5,8.748597414581537e-5,0.017847138725746337,1.6779349891391495e-5,1.6779349891391495e-5
Cesarean,1.678132482874525e-5,2.253419734931768e-5,1.678132482874525e-5,1.678132482874525e-5,1.678132482874525e-5,1.678132482874525e-5,1.678132482874525e-5,1.678132482874525e-5,1.678132482874525e-5,1.678132482874525e-5,3.6054715758908286e-4,1.678132482874525e-5,1.678132482874525e-5,1.678132482874525e-5,2.253419734931768e-5,1.678132482874525e-5,3.1547876289044754e-4,1.678132482874525e-5,6.084233284315774e-4,1.678132482874525e-5,1.678132482874525e-5,1.678132482874525e-5,1.678132482874525e-5,0.4392140405355509,2.253419734931768e-5,0.020010367246194097,6.760259204795304e-5,1.678132482874525e-5,1.678132482874525e-5,1.678132482874525e-5,1.678132482874525e-5,1.678132482874525e-5,1.678132482874525e-5,1.678132482874525e-5,1.678132482874525e-5,1.678132482874525e-5,0.3260698356446268,2.253419734931768e-5,5.182865390343066e-4,0.007053203770336434,1.3520518409590609e-4,0.049552699971149576,2.253419734931768e-5,1.678132482874525e-5,4.506839469863536e-5,1.678132482874525e-5,4.95752341684989e-4,9.464362886713425e-4,4.506839469863536e-5,9.013678939727071e-5,1.678132482874525e-5,1.678132482874525e-5,2.253419734931768e-5,1.678132482874525e-5,1.678132482874525e-5,6.084233284315774e-4,2.253419734931768e-4,6.760259204795304e-5,1.678132482874525e-5,2.253419734931768e-5,1.678132482874525e-5,6.760259204795304e-5,4.506839469863536e-5,2.253419734931768e-5,1.678132482874525e-5,1.678132482874525e-5,2.253419734931768e-5,0.008427789808644812,4.506839469863536e-5,2.478761708424945e-4,5.858891310822597e-4,1.678132482874525e-5,1.678132482874525e-5,1.3520518409590609e-4,0.015571130368378518,0.011131893490562934,0.0016675306038495083,0.03535615564107944,3.380129602397652e-4,1.678132482874525e-5,1.126709867465884e-4,1.678132482874525e-5,1.678132482874525e-5,1.678132482874525e-5,1.678132482874525e-5,2.253419734931768e-5,4.506839469863536e-5,1.678132482874525e-5,4.506839469863536e-5,1.678132482874525e-5,1.678132482874525e-5,2.253419734931768e-5,1.678132482874525e-5,0.004011087128178548,1.678132482874525e-5,0.07305586780648793,1.678132482874525e-5,1.678132482874525e-5,2.253419734931768e-5,1.678132482874525e-5,1.126709867465884e-4,1.678132482874525e-5,0.0013520518409590608,2.253419734931768e-5,1.678132482874525e-5,1.678132482874525e-5
Vaginal,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,5.431887812328869e-4,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,0.03142138180670238,1.6713500961011902e-4,0.6944877486824471,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,3.760537716227678e-4,1.6775964284499348e-5,1.6713500961011902e-4,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,2.0891876201264878e-4,0.22371021036314429,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6713500961011902e-4,1.6775964284499348e-5,4.1783752402529755e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.2535125720758927e-4,2.0891876201264878e-4,4.596212764278273e-4,4.1783752402529755e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.2535125720758927e-4,1.2535125720758927e-4,1.6713500961011902e-4,1.6775964284499348e-5,8.356750480505951e-5,0.009150641776154015,1.6775964284499348e-5,4.1783752402529755e-5,8.356750480505951e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.2535125720758927e-4,1.6775964284499348e-5,1.6775964284499348e-5,0.00881637175693378,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,7.521075432455356e-4,1.6775964284499348e-5,1.6775964284499348e-5,0.0012952963244784222,1.6775964284499348e-5,1.2535125720758927e-4,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,2.0891876201264878e-4,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.2535125720758927e-4,1.6775964284499348e-5,0.024151008888662197,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,1.6775964284499348e-5,4.1783752402529755e-5,1.6775964284499348e-5,0.0011699450672708331,4.1783752402529755e-5,1.6775964284499348e-5,1.6775964284499348e-5
Vaginal,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,0.040491064467322355,1.6779349891391495e-5,0.2599161167398411,1.6779349891391495e-5,0.02932111564875067,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,0.008377461613928763,1.0740335402472772e-4,0.017291939997981166,3.2221006207418316e-4,9.666301862225495e-4,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,0.010740335402472772,3.2221006207418316e-4,1.6779349891391495e-5,0.01235138571284369,3.2221006207418316e-4,0.05670897092505624,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,2.1480670804945544e-4,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,0.0011814368942720049,0.012995805836992055,4.296134160989109e-4,1.6779349891391495e-5,2.1480670804945544e-4,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,0.09687782533030441,0.07453792769316105,1.6779349891391495e-5,0.009344091800151312,1.0740335402472772e-4,0.00902188173807713,0.00988110857027495,2.1480670804945544e-4,1.6779349891391495e-5,0.12297684035831324,0.005370167701236386,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.0740335402472772e-4,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,0.0010740335402472773,1.0740335402472772e-4,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,0.1587421572485476,1.6779349891391495e-5,4.296134160989109e-4,1.6779349891391495e-5,1.6779349891391495e-5,0.007947848197829852,0.016217906457733886,1.0740335402472772e-4,2.1480670804945544e-4,0.01922520037042626,0.0017184536643956435,1.0740335402472772e-4,1.6779349891391495e-5,1.6779349891391495e-5,1.6779349891391495e-5,0.0010740335402472773,7.518234781730941e-4,1.6779349891391495e-5,1.6779349891391495e-5,2.1480670804945544e-4,1.6779349891391495e-5,1.6779349891391495e-5,0.0015036469563461882,0.008807075030027674,1.6779349891391495e-5,1.6779349891391495e-5
