Status,Cloacimonadaceae_W5___Paenibacillaceae_Paenibacillus,Halomonadaceae_g.___Paenibacillaceae_Paenibacillus,Paenibacillaceae_Paenibacillus___Yersiniaceae_g.,Comamonadaceae_Diaphorobacter___Paenibacillaceae_Paenibacillus,Comamonadaceae_g.___Paenibacillaceae_Paenibacillus,Actinomycetaceae_Actinomyces___Paenibacillaceae_Paenibacillus,Erwiniaceae_Pantoea___Paenibacillaceae_Paenibacillus,Paenibacillaceae_Paenibacillus___Pseudomonadaceae_Pseudomonas,Lactobacillaceae_Lactobacillus___Paenibacillaceae_Paenibacillus,Chroococcidiopsaceae_Chroococcidiopsis___Paenibacillaceae_Paenibacillus,Micrococcaceae_Rothia___Paenibacillaceae_Paenibacillus,Beijerinckiaceae_Psychroglaciecola___Paenibacillaceae_Paenibacillus
pos,-7.522196601174583,-7.522196601174583,7.522196601174583,-7.522196601174583,-3.737669618283369,-7.522196601174583,-7.522196601174583,0.2719337154836421,0.1941560144409574,0.06155789299943316,0.37865385065750756,-1.6582280766035327
neg,1.7147984280919264,-3.698937272333811,3.698937272333811,-3.698937272333811,-3.698937272333811,-3.698937272333811,-3.698937272333811,-5.06680556556331,-3.698937272333811,-3.698937272333811,-3.698937272333811,5.834810737062605
pos,0,0,-5.860337010914012,0,0,0,0,-7.818592995791625,0,0,0,0
pos,-10.847865332982204,-10.847865332982204,10.847865332982204,-6.648209360672,-10.847865332982204,-10.847865332982204,-10.847865332982204,3.736732524939305,-10.847865332982204,-10.847865332982204,-10.847865332982204,-5.13033864176339
pos,-6.072865414159762,-6.072865414159762,6.072865414159762,-0.4519851237430571,-6.072865414159762,-6.072865414159762,-6.072865414159762,6.072865414159762,-6.072865414159762,-6.072865414159762,-6.072865414159762,1.3318061758358208
neg,-4.038175841747216,1.428091489798352,-1.2700345550040284,-4.038175841747216,-4.038175841747216,-4.038175841747216,1.3923734071962728,-4.694698717487743,-4.038175841747216,-4.038175841747216,-4.038175841747216,2.175305891628573
neg,1.9299098077088719,3.6692434795970774,4.51516317612485,-4.51516317612485,-4.51516317612485,-4.51516317612485,-4.51516317612485,0.25131442828090617,1.3291359472799422,-4.51516317612485,-4.51516317612485,2.83972802507741
pos,-7.408216682261466,-7.408216682261466,2.1212386703582973,-2.8390784635086144,-7.408216682261466,-7.408216682261466,-4.04305126783455,2.8390784635086144,-7.408216682261466,-7.408216682261466,-7.408216682261466,-7.408216682261466
pos,-7.214126359383615,-7.214126359383615,0.8088315795594077,-7.214126359383615,-7.214126359383615,-1.4832866271072005,-7.214126359383615,0.2465239999582738,-4.373658385003365,-7.214126359383615,0.6369769090928906,-1.1818112325230838
pos,-5.68539841222279,-5.68539841222279,5.68539841222279,-1.3203943693839983,-2.0552142463445118,-5.68539841222279,-5.68539841222279,-0.9532031867367948,-5.68539841222279,-5.68539841222279,-1.4510145518010626,-5.68539841222279
