ID,Label,Str,meanAbund
Bacteroidaceae.Bacteroides,Bacteroidaceae.Bacteroides,1.3849755913921544,0.9641508232283617
Ruminococcaceae.Anaerotruncus,Ruminococcaceae.Anaerotruncus,0.47998985936513117,7.274556288991197e-4
Alcaligenaceae.Sutterella,,0.43091924277930793,0.013192947065104614
Lachnospiraceae.Anaerostipes,,0.43091924277930793,4.6526119851281677e-4
Enterobacteriaceae.Proteus,Enterobacteriaceae.Proteus,0.9527675227149999,2.66859022076753e-4
Erysipelotrichaceae.Clostridium,,0.44249686571286384,3.8942707287793174e-4
Clostridiaceae.,Clostridiaceae.,0.495329837355442,0.01167317916128772
Rikenellaceae.,Rikenellaceae.,0.9856084937562826,0.009134047622879386
