Source,Target,Weight,taxa,Status,n,lb,ub,log_ratio,edgeweight,edgeweightCol
Bacteroidaceae.Bacteroides,Clostridiaceae.,0.5120398493284881,Bacteroidaceae.Bacteroides / Clostridiaceae.,Vaginal,31,0.33178830862324876,0.6922913900337275,0.5120398493284881,0.5120398493284881,pos
Bacteroidaceae.Bacteroides,Enterobacteriaceae.,0.47395854909949464,Bacteroidaceae.Bacteroides / Enterobacteriaceae.,Vaginal,31,0.3071126311154886,0.6408044670835007,0.47395854909949464,0.47395854909949464,pos
Bacteroidaceae.Bacteroides,Clostridiaceae.Clostridium,0.4624594219489749,Bacteroidaceae.Bacteroides / Clostridiaceae.Clostridium,Vaginal,31,0.2996615002065991,0.6252573436913507,0.4624594219489749,0.4624594219489749,pos
Bacteroidaceae.Bacteroides,Lachnospiraceae.Ruminococcus.,0.45855554642755236,Bacteroidaceae.Bacteroides / Lachnospiraceae.Ruminococcus.,Vaginal,31,0.25615472924951915,0.5344784881411484,0.39531660869533375,0.39531660869533375,pos
Bacteroidaceae.Bacteroides,Erysipelotrichaceae.Eubacterium.,0.42443158097930933,Bacteroidaceae.Bacteroides / Erysipelotrichaceae.Eubacterium.,Vaginal,31,0.25406313543260284,0.5301142825520263,0.39208870899231457,0.39208870899231457,pos
Bacteroidaceae.Bacteroides,Peptostreptococcaceae.Clostridium.,0.39531660869533375,Bacteroidaceae.Bacteroides / Peptostreptococcaceae.Clostridium.,Vaginal,31,0.25189316349179275,0.5255865374440953,0.388739850467944,0.388739850467944,pos
Bacteroidaceae.Bacteroides,Enterobacteriaceae.Proteus,0.39208870899231457,Bacteroidaceae.Bacteroides / Enterobacteriaceae.Proteus,Vaginal,31,0.22744377071186783,0.4745717678660789,0.35100776928897337,0.35100776928897337,pos
Clostridiaceae.,Lachnospiraceae.Dorea,0.388739850467944,Clostridiaceae. / Lachnospiraceae.Dorea,Vaginal,31,-0.17514722786359826,-0.3654526536555246,-0.27029994075956143,0.27029994075956143,neg
Enterobacteriaceae.Raoultella,Micrococcaceae.Rothia,0.38594832140890173,Enterobacteriaceae.Raoultella / Micrococcaceae.Rothia,Vaginal,31,0.2971318918996926,0.6199792009554121,0.45855554642755236,0.45855554642755236,pos
Bifidobacteriaceae.,Enterococcaceae.Enterococcus,0.38207263324050783,Bifidobacteriaceae. / Enterococcaceae.Enterococcus,Vaginal,31,0.2750204628879881,0.5738426990706306,0.42443158097930933,0.42443158097930933,pos
Enterococcaceae.Enterococcus,Listeriaceae.Listeria,0.35100776928897337,Enterococcaceae.Enterococcus / Listeriaceae.Listeria,Vaginal,31,-0.2478398493014136,-0.5171291131100529,-0.38248448120573325,0.38248448120573325,neg
Actinomycetaceae.Mobiluncus,Micrococcaceae.Rothia,0.3480424695350885,Actinomycetaceae.Mobiluncus / Micrococcaceae.Rothia,Vaginal,31,0.25008432633549144,0.5218123164823121,0.38594832140890173,0.38594832140890173,pos
Odoribacteraceae.Odoribacter,Peptostreptococcaceae.,0.33786356305682846,Odoribacteraceae.Odoribacter / Peptostreptococcaceae.,Vaginal,31,0.24757298268942768,0.516572283791588,0.38207263324050783,0.38207263324050783,pos
Bacillaceae.Bacillus,Enterococcaceae.Enterococcus,0.329312654751588,Bacillaceae.Bacillus / Enterococcaceae.Enterococcus,Vaginal,31,0.22552233473145994,0.47056260433871705,0.3480424695350885,0.3480424695350885,pos
Erysipelotrichaceae.Holdemania,Peptostreptococcaceae.,0.3256649008697293,Erysipelotrichaceae.Holdemania / Peptostreptococcaceae.,Vaginal,31,0.21892667197496707,0.45680045413868986,0.33786356305682846,0.33786356305682846,pos
Bifidobacteriaceae.Bifidobacterium,Enterobacteriaceae.,0.27579004136543595,Bifidobacteriaceae.Bifidobacterium / Enterobacteriaceae.,Vaginal,31,0.21338590906850788,0.44523940043466814,0.329312654751588,0.329312654751588,pos
Alcaligenaceae.Sutterella,Lachnospiraceae.Blautia,0.27029994075956143,Alcaligenaceae.Sutterella / Lachnospiraceae.Blautia,Vaginal,31,0.21102226082448353,0.44030754091497515,0.3256649008697293,0.3256649008697293,pos
Coriobacteriaceae.Collinsella,Enterococcaceae.Enterococcus,0.38248448120573325,Coriobacteriaceae.Collinsella / Enterococcaceae.Enterococcus,Vaginal,31,0.17870466816162084,0.37287541456925105,0.27579004136543595,0.27579004136543595,pos
Actinomycetaceae.Actinomyces,Bacteroidaceae.Bacteroides,0.4319898695161397,Actinomycetaceae.Actinomyces / Bacteroidaceae.Bacteroides,Vaginal,31,-0.27991803438171114,-0.5840617046505683,-0.4319898695161397,0.4319898695161397,neg
