ID,Label,Str,meanAbund
Actinomycetaceae.Actinomyces,,0.43198986951613966,0.002496893213694001
Bacteroidaceae.Bacteroides,Bacteroidaceae.Bacteroides,2.701447921060104,0.09951852266725676
Enterococcaceae.Enterococcus,Enterococcaceae.Enterococcus,1.635346220776679,0.006577407227144866
Listeriaceae.Listeria,,0.3510077692889732,4.3218919116658525e-4
Clostridiaceae.,Clostridiaceae.,0.7645571144462409,0.08594682833389872
Lachnospiraceae.Dorea,,0.38207263324050783,0.012861907528620369
Coriobacteriaceae.Collinsella,,0.3859483214089018,9.512154838099986e-4
Alcaligenaceae.Sutterella,,0.3887398504679441,0.002864014655782873
Lachnospiraceae.Blautia,,0.3887398504679441,0.016808996428006654
Bifidobacteriaceae.Bifidobacterium,,0.39208870899231457,0.14173901879868583
Enterobacteriaceae.,,0.6623886497518761,0.3916823152938158
Erysipelotrichaceae.Holdemania,,0.39531660869533375,3.63241757314427e-4
Peptostreptococcaceae.,Peptostreptococcaceae.,0.8538721551228861,0.005618539202643844
Bacillaceae.Bacillus,,0.42443158097930933,3.563938078040622e-4
Enterobacteriaceae.Proteus,,0.2757900413654359,6.649278893778587e-4
Odoribacteraceae.Odoribacter,,0.4585555464275523,3.6785665619831005e-4
Actinomycetaceae.Mobiluncus,,0.46245942194897494,2.836248677204983e-4
Micrococcaceae.Rothia,Micrococcaceae.Rothia,0.9744992712774632,0.0018901840727202335
Peptostreptococcaceae.Clostridium.,,0.32566490086972927,0.003577045622173019
Erysipelotrichaceae.Eubacterium.,,0.329312654751588,0.006716904967468307
Lachnospiraceae.Ruminococcus.,,0.33786356305682835,0.10052364180295972
Bifidobacteriaceae.,,0.47395854909949464,3.9561782754459683e-4
Enterobacteriaceae.Raoultella,,0.5120398493284882,2.2490790326093905e-4
Clostridiaceae.Clostridium,,0.34804246953508855,0.11713780480093174
