ID,Label,Str,meanAbund
Eggerthella_unclassified,Eggerthella_unclassified,15.858177306392353,0.09785851657964002
Enterococcus_faecium,,7.02798200468677,8.818468991361912e-4
Streptococcus_australis,,4.522444790305235,0.0010629817564014642
Akkermansia_muciniphila,Akkermansia_muciniphila,15.84030348133241,0.04930286617786165
Clostridium_difficile,,4.394546055677522,6.086183816301252e-4
Alistipes_unclassified,,4.026706320346033,8.79216504837922e-4
Bacteroides_dorei,Bacteroides_dorei,28.542849557135384,0.03500190550625234
Erysipelotrichaceae_bacterium_6_1_45,,3.315855630256353,8.052692982746233e-4
Alistipes_onderdonkii,,3.771981028531991,0.0012851971620299908
Dorea_formicigenerans,,3.1997852409608187,0.0012706732432261713
Granulicatella_unclassified,,3.1561624759593934,0.0014270612532742608
Faecalibacterium_prausnitzii,,2.7777573106446036,0.061100824229307814
Haemophilus_haemolyticus,Haemophilus_haemolyticus,11.97688551009399,0.0026022146735382896
Clostridium_hathewayi,Clostridium_hathewayi,19.174871971141194,0.015608066076632902
Lachnospiraceae_bacterium_9_1_43BFAA,,2.091447186376472,6.766463098228577e-4
Ruminococcus_sp_5_1_39BFAA,,3.1383944168949887,0.001704349272607677
Erysipelotrichaceae_bacterium_21_3,,1.8161741339308666,7.963500866430892e-4
Dorea_unclassified,,3.0222191234524276,0.0020835810098838053
Escherichia_unclassified,,0.7230519083558856,0.041851188292279976
Bacteroides_thetaiotaomicron,,3.6470700767768633,0.003920992977730873
Lachnospiraceae_bacterium_2_1_58FAA,,2.9755042193065084,0.0028516761551493925
Lactococcus_lactis,,1.7869009969277014,0.0015358214447683857
Enterococcus_casseliflavus,,1.4789783543726636,0.001927725191395499
Eubacterium_rectale,,2.873524658610978,0.005692948872213044
Roseburia_intestinalis,,2.821314450285027,0.005862062511686143
Enterococcus_faecalis,,1.0476958789283917,0.0035566158273402826
Haemophilus_paraphrohaemolyticus,,2.531637284470431,9.127137275670859e-4
Eubacterium_eligens,,0.27139882803128024,0.007178489862796703
Collinsella_aerofaciens,,1.1862438169000862,0.006666928900063694
Lactobacillus_casei_paracasei,,0.8506285177005803,0.007574110573534107
Anaerostipes_hadrus,,0.4834014386671938,0.003413580389293568
Oscillibacter_unclassified,,0.6979482102794695,0.00264772280366623
Streptococcus_salivarius,,0.6979482102794695,0.003143125266229136
Bacteroides_vulgatus,,1.3156370963511106,0.15656169186877175
Veillonella_parvula,,1.3156370963511106,0.25387742409031777
Streptococcus_parasanguinis,,2.507495557026347,0.00522947604390272
Anaerotruncus_unclassified,,2.682143182898248,6.98182871917863e-4
Eggerthella_lenta,,2.7818484334701377,0.006695124294545882
Clostridium_clostridioforme,,3.373276002870239,9.665129354191084e-4
Actinomyces_odontolyticus,,3.3963222888302713,5.350001958305292e-4
Veillonella_unclassified,,0.17151766144578584,0.19903518297208336
Actinobacillus_unclassified,,3.84462453367992,0.0020936274707973605
Bacteroides_cellulosilyticus,,4.0400893414088905,6.158900396986076e-4
