ID,Label
Bacteroidaceae.Bacteroides,Bacteroidaceae.Bacteroides
Erysipelotrichaceae.Clostridium,Erysipelotrichaceae.Clostridium
Clostridiaceae.,Clostridiaceae.
Rikenellaceae.,Rikenellaceae.
Enterobacteriaceae.Proteus,Enterobacteriaceae.Proteus
Ruminococcaceae.Anaerotruncus,Ruminococcaceae.Anaerotruncus
Alcaligenaceae.Sutterella,Alcaligenaceae.Sutterella
Lachnospiraceae.Anaerostipes,Lachnospiraceae.Anaerostipes
