ID,Label,Str,meanAbund
Bacteroidaceae.Bacteroides,Bacteroidaceae.Bacteroides,3.5508401349876073,0.6892508481324884
Clostridiaceae.,Clostridiaceae.,0.9007796997964321,0.011338276281634144
Enterobacteriaceae.,Enterobacteriaceae.,0.7497485904649306,0.04412067553591881
Clostridiaceae.Clostridium,,0.4624594219489749,0.01287068223323968
Enterobacteriaceae.Raoultella,,0.38594832140890173,1.9060644833574286e-4
Micrococcaceae.Rothia,Micrococcaceae.Rothia,0.7339907909439902,2.4953256603439666e-4
Bifidobacteriaceae.,,0.38207263324050783,5.007311211088157e-4
Enterococcaceae.Enterococcus,Enterococcaceae.Enterococcus,1.4448775384868027,5.518049031530754e-4
Lachnospiraceae.Ruminococcus.,,0.45855554642755236,0.03786383183921976
Erysipelotrichaceae.Eubacterium.,,0.42443158097930933,0.0014892336563448515
Peptostreptococcaceae.Clostridium.,,0.39531660869533375,4.619899981531378e-4
Actinomycetaceae.Mobiluncus,,0.3480424695350885,2.2662402354818045e-4
Odoribacteraceae.Odoribacter,,0.33786356305682846,4.045052413438084e-4
Peptostreptococcaceae.,,0.6635284639265577,7.759726897132751e-4
Enterobacteriaceae.Proteus,,0.39208870899231457,2.2936261477272867e-4
Bacillaceae.Bacillus,,0.329312654751588,2.3284565736821024e-4
Erysipelotrichaceae.Holdemania,,0.3256649008697293,3.2338293850651354e-4
Bifidobacteriaceae.Bifidobacterium,,0.27579004136543595,0.16663382130842788
Alcaligenaceae.Sutterella,,0.27029994075956143,0.012471977017549292
Lachnospiraceae.Blautia,,0.27029994075956143,0.010148836556780635
Coriobacteriaceae.Collinsella,,0.38248448120573325,7.543428020325668e-4
Lachnospiraceae.Dorea,,0.388739850467944,0.008134637098122158
Listeriaceae.Listeria,,0.35100776928897337,2.1396338021210305e-4
Actinomycetaceae.Actinomyces,,0.4319898695161397,5.615159559920502e-4
