method,Dims,totalRatios,Scenario,seed,numRatios,compTime_sec,NumParts,CluseringCoefficient,LogLoss,TrainlogLoss,TrainAUC,crossValAUC,energyF,meansF,dispF,combinedF
Boruta,250,31125,1,195,202,134.23600000000002,139,0.012517385257301807,0.9725825929560028,0.5478492466099782,0.86484375,0.875625,5.408601926907797,3.6587607980489203,949.2348436750611,952.89360447311
LASSO,250,31125,1,195,31125,6.311,250,1,0.7403630859461654,0.7562236587130025,0.47859375,0.526875,2.790386290634052,0.9665065756436508,1696.4369513269921,1697.4034579026359
RFE,250,31125,1,195,8192,342.008,250,0.4429899890142196,0.8204770137313947,0.670628530818346,0.658125,0.683125,3.031976488340543,1.1915113865856912,1337.2306070223767,1338.4221184089624
InformationGain,250,31125,1,195,7444,7.540000000000042,250,0.3351489494395542,0.8950456166170748,0.6113397874184181,0.76515625,0.77375,4.00456080073359,1.657836593504171,2166.8430442057625,2168.5008807992667
selEnergyPerm,250,31125,1,195,119,71.34699999999998,137,0,0.873659722896788,0.627194833177033,0.7459375,0.76625,3.8174896527439723,1.9813013945937368,1703.1882109110168,1705.1695123056104
Boruta,250,31125,2,195,178,130.30200000000002,168,0.0024019215372297837,1.1500710321861933,0.39830210483211737,1,1,3.3854820188930717,5.908299762356919,4.89830590627667,10.80660566863359
LASSO,250,31125,2,195,17,13.722999999999956,19,0,1.260661845227526,0.3433748380708059,1,1,20.825043091718612,43.039334291455255,5.387255883609795,48.42659017506505
RFE,250,31125,2,195,4,281.1299999999999,5,0,1.2581322861708883,0.34672886028844807,1,1,64.1137765913516,201.17022935531767,3.0780788392149314,204.2483081945326
InformationGain,250,31125,2,195,2047,6.3900000000001,250,0.029496736300910025,0.9041602426767443,0.5459418719739862,0.91890625,0.925,1.3865159511011427,1.7284713226213264,17.541019172797725,19.269490495419053
selEnergyPerm,250,31125,2,195,3,63.809999999999945,4,0,1.2567626504115161,0.3475421449104772,1,1,74.07967930602614,243.0943271666907,0.7389103594709638,243.83323752616167
Boruta,250,31375,3,195,973,149.76300000000015,191,0,1.2732410727682812,0.334872181628848,1,1,18.39439859025918,43.31141940775188,3.7533607840472523,47.06478019179913
LASSO,250,31375,3,195,54,13.650000000000091,60,0,1.2936333246729086,0.32376279186492146,1,1,21.66558700689257,52.37327623780208,1.4394406273447389,53.81271686514682
RFE,250,31375,3,195,512,303.86900000000014,191,0.0032685672780098057,1.2735718776054417,0.334993761667432,1,1,16.13338070145553,36.97435204931907,0.7692162908494002,37.74356834016847
InformationGain,250,31375,3,195,10368,7.2280000000000655,251,0.018732753450600548,1.2654599150853587,0.33757720128179425,1,1,11.482247317620542,24.72552416361,0.11082263746491729,24.836346801074917
selEnergyPerm,250,31375,3,195,4,64.83699999999999,6,0,1.1488857617716792,0.4153691615835122,0.99328125,0.9925,30.256836593118592,77.96855250982976,0.24362258913194704,78.21217509896171
Boruta,250,31375,4,195,53,134.75800000000004,52,0,1.0160875740916893,0.5064864549356252,0.8975,0.904375,10.675278464876216,23.90422265415006,2.9024220824813445,26.806644736631405
LASSO,250,31375,4,195,13,12.035000000000082,16,0,1.0678128636182875,0.4682953075657578,0.9484375,0.95125,11.00045432164812,24.527582000605108,0.41006778278724176,24.93764978339235
RFE,250,31375,4,195,32,346.28599999999983,38,0,0.9973556817942417,0.5200798349683391,0.8765625,0.87625,9.493380089387328,21.067542533304092,1.7717062777358477,22.83924881103994
InformationGain,250,31375,4,195,436,6.4220000000000255,240,0.014912602371348246,1.0459910062009359,0.48080408442438083,0.93453125,0.933125,5.850563045816234,11.803271287763154,3.6844488261973405,15.487720113960496
selEnergyPerm,250,31375,4,195,9,64.70600000000013,11,0,0.969773015503514,0.5317657053018879,0.8734375,0.87625,13.408186276576819,31.699606114336426,0.4498950892333545,32.14950120356978
Boruta,250,31375,5,195,1358,159.26600000000008,246,0.0423020343726454,1.0245520469313307,0.5461652331664549,0.8396875,0.846875,12.206939853323142,3.394676741537494,3264.5650324979424,3267.9597092394797
LASSO,250,31375,5,195,31375,6.0090000000000146,251,1,0.8170543594556735,0.850245797252986,0.50453125,0.5075,10.36608593789814,0.9312325551259258,5630.1160710384,5631.0473035935265
RFE,250,31375,5,195,8192,291.40700000000015,251,0.4358271232350671,0.8693001408540584,0.752677440369922,0.59484375,0.608125,10.601599243617983,1.2533525636217488,4542.335885142458,4543.58923770608
InformationGain,250,31375,5,195,31374,8.445999999999913,251,0.9999681254581966,0.8170606813434889,0.8502359994722755,0.50453125,0.5075,10.36610532738982,0.9312624922507604,5632.01033505028,5632.941597542531
selEnergyPerm,250,31375,5,195,82,74.20299999999997,109,0,0.9560934271661004,0.5914345317718619,0.77421875,0.795,11.258121794079496,2.1803457769147547,11124.115101153486,11126.2954469304
