method,Dims,totalRatios,Scenario,seed,numRatios,compTime_sec,NumParts,CluseringCoefficient,LogLoss,TrainlogLoss,TrainAUC,crossValAUC,energyF,meansF,dispF,combinedF
Boruta,150,11175,1,70,236,102.10999999999999,126,0.040482954545454544,0.9251364567981671,0.595269570021042,0.771875,0.785625,4.902299180385642,2.0354750755961737,1244.7839858487591,1246.8194609243553
LASSO,150,11175,1,70,11175,2.6259999999999977,150,1,0.7044180817146547,0.8403921576494455,0.38625,0.620625,3.062090452017951,0.8074709450563503,1845.4053296293278,1846.2128005743841
RFE,150,11175,1,70,4096,222.39700000000008,150,0.4313322740781599,0.7678031679332538,0.7644530230502923,0.5171875,0.473125,3.4040348131436797,1.0098024996322041,1673.7477601603046,1674.7575626599369
InformationGain,150,11175,1,70,3466,3.3060000000000613,150,0.40278786638702746,0.829402102713148,0.6953299628466058,0.625,0.646875,4.055937340271069,1.258698338036876,1842.2732248280824,1843.5319231661192
selEnergyPerm,150,11175,1,70,60,40.76800000000003,76,0,0.8392368667292146,0.6851330476596362,0.63828125,0.655625,3.7426009022807603,1.52873496501905,1611.9840151599226,1613.5127501249417
Boruta,150,11175,2,70,146,92.55700000000013,125,0.008792965627498001,1.1752023730095387,0.3840968939879777,1,1,3.8519567804757338,6.880209340742279,2.1999297164554106,9.08013905719769
LASSO,150,11175,2,70,13,8.899000000000115,15,0,1.2687251694955075,0.34056409817752586,1,1,24.899876414085657,57.053267957066,0.7294233146576904,57.782691271723685
RFE,150,11175,2,70,2,172.94500000000005,3,0,1.187743901383645,0.3906995591462796,0.99640625,0.995625,61.088597161935894,178.19024132617182,2.049883493327081,180.2401248194989
InformationGain,150,11175,2,70,1237,2.8750000000001137,150,0.05327286830956501,0.9893777863210974,0.49923163488195693,0.945,0.9575,1.6014339880801853,2.1765383632269777,7.708082069817673,9.88462043304465
selEnergyPerm,150,11175,2,70,3,32.712999999999965,4,0,1.2354590303991793,0.36127362055068424,0.999375,0.999375,65.5408556920726,206.40418981669328,0.38924793874203223,206.79343775543532
Boruta,150,11325,3,70,665,116.20299999999997,122,0,1.2478770405257782,0.351353289990316,1,1,14.461169500217729,32.63334851722088,0.2047265337061046,32.83807505092699
LASSO,150,11325,3,70,42,9.593000000000075,44,0,1.27514113800593,0.3357471713406245,1,1,17.53332541312474,40.48431668658669,0.019778396024472646,40.50409508261116
RFE,150,11325,3,70,512,192.40499999999997,134,0.005062680810028929,1.2437481036443303,0.3541518950475137,0.99984375,1,13.281527224787705,29.58184108789706,4.151459481583935e-5,29.581882602491877
InformationGain,150,11325,3,70,3102,2.9160000000001673,151,0.01346527773886439,1.2330868910803465,0.3590359818796408,1,1,9.808105815072976,20.77618141798455,0.4305489009950251,21.206730318979574
selEnergyPerm,150,11325,3,70,4,32.087999999999965,6,0,1.125002210636239,0.4310235015951795,0.970625,0.9725,26.254801898790994,59.79730589074976,4.431162513994342,64.2284684047441
Boruta,150,11325,4,70,39,94.4240000000002,41,0,0.9547009044803099,0.5527268449001348,0.83015625,0.82875,8.976423272296048,20.697553415868043,1.5766976919525792,22.27425110782062
LASSO,150,11325,4,70,5,5.8960000000001855,6,0,0.9400034386308453,0.5502113130313662,0.84515625,0.83875,12.902538510449734,31.660613526148065,2.875713135381205,34.53632666152927
RFE,150,11325,4,70,128,221.711,104,0.010913500404203719,0.9960592061067018,0.5218289230818429,0.87546875,0.873125,5.710932615553964,11.829162600445883,0.8592139434721122,12.688376543917995
InformationGain,150,11325,4,70,162,2.8640000000000327,128,0.009034543844109831,0.9984981979934052,0.5179247515794903,0.8759375,0.873125,6.077780202015399,13.02381515844263,1.9740297097796642,14.997844868222295
selEnergyPerm,150,11325,4,70,3,32.04899999999998,4,0,0.9093273647991802,0.56826126829033,0.82953125,0.828125,13.41579259643497,29.91126675751804,1.4066073460540716,31.31787410357211
Boruta,150,11325,5,70,1202,132.135,151,0.12943041558147436,0.872905610149087,0.7007369455962036,0.62765625,0.62125,10.780765157421838,1.7721258547219139,2696.38082946012,2698.1529553148416
LASSO,150,11325,5,70,11325,2.2719999999999345,151,1,0.7633511911618412,0.9103527131759176,0.3934375,0.59125,9.482404461054601,0.7945752097721751,2890.944932449057,2891.739507658829
RFE,150,11325,5,70,8192,194.28199999999993,151,0.790530035335689,0.7764335357434108,0.886603418766008,0.434375,0.550625,9.554969880123057,0.8600558590004714,2763.1101180345513,2763.970173893552
InformationGain,150,11325,5,70,11322,3.4420000000000073,151,0.9997349589186324,0.7634217836752448,0.9102364862833995,0.3934375,0.589375,9.483400569456634,0.794781435476778,2890.997855536113,2891.7926369715897
selEnergyPerm,150,11325,5,70,58,40.55099999999993,76,0,0.811340071392154,0.7098188336788033,0.599375,0.619375,10.541419155687977,1.4018912671178483,6528.997719831941,6530.399611099059
