method,Dims,totalRatios,Scenario,seed,numRatios,compTime_sec,NumParts,CluseringCoefficient,LogLoss,TrainlogLoss,TrainAUC,crossValAUC,energyF,meansF,dispF,combinedF
Boruta,50,1225,1,79,2,11.269999999999989,4,NA,0.840133744139511,0.6054521524834257,0.49291666666666667,0.511666666666667,3.542000818306917,0.20550871345617663,29.155466515789804,29.36097522924598
LASSO,50,1225,1,79,1225,0.48800000000000665,50,1,0.7711504037810262,0.7195794104901656,0.5020833333333333,0.519166666666667,2.7053701618980903,0.49608436026107056,336.3336439594163,336.8297283196774
RFE,50,1225,1,79,128,18.500000000000007,47,0.1543859649122807,0.8482784641302304,0.6243386190898492,0.6545833333333333,0.668333333333333,3.5021747209889,0.8838660567531857,284.8702648865047,285.75413094325785
InformationGain,50,1225,1,79,241,0.552000000000028,50,0.27357512953367874,0.8193657474380837,0.6550663286066626,0.5810416666666667,0.593333333333333,3.5235225326144333,0.7291685640387048,317.2100071122722,317.9391756763109
selEnergyPerm,50,1225,1,79,32,6.450999999999993,39,0,0.8635642794137421,0.6058115881317306,0.6860416666666667,0.706666666666667,3.435595104217145,1.3949587457274644,193.49685692456572,194.89181567029317
Boruta,50,1225,2,79,31,11.143999999999977,26,0.061016949152542375,1.2457816070371794,0.352082277843823,1,1,9.011910636351502,18.583845930888756,2.7484400841821484,21.332286015070906
LASSO,50,1225,2,79,14,0.8649999999999807,16,0,1.26176041990636,0.34447427662947483,1,1,14.220184001656369,31.085576971322055,3.6790468878954043,34.76462385921746
RFE,50,1225,2,79,8,13.902000000000015,9,0,1.25659836705238,0.3491642241508479,0.9997916666666666,0.999166666666667,36.22943365590927,108.03756045450044,1.3024138509629752,109.33997430546341
InformationGain,50,1225,2,79,284,0.42099999999996385,50,0.13103331067301155,1.1049498485357103,0.43966711778416623,0.9666666666666667,0.9825,1.9704908232203633,2.950281627933507,4.232937442351022,7.1832190702845296
selEnergyPerm,50,1225,2,79,3,4.694000000000017,4,0,1.2370440912373635,0.3602236702639895,1,1,45.549709116823564,132.08443356921333,1.3909347773849936,133.47536834659832
Boruta,50,1275,3,79,117,15.122000000000071,44,0,1.169589244875285,0.4024212734120971,0.9985416666666667,0.998333333333333,8.23999472286661,17.38575595795281,0.3199277574716715,17.70568371542448
LASSO,50,1275,3,79,26,0.9940000000000282,24,0,1.1818063601691502,0.39515275892518514,0.9974999999999999,0.996666666666667,8.714694885226569,18.019642867667702,3.4787748256057465,21.49841769327345
RFE,50,1275,3,79,256,16.59200000000004,51,0.1173228346456693,1.1595241498126967,0.4113699772046573,0.9925,0.995833333333333,5.601627212698419,11.049030162110109,0.008422155214525938,11.057452317324634
InformationGain,50,1275,3,79,155,0.41600000000005366,48,0.01062753036437247,1.1633202128525826,0.40693782258717404,0.99875,0.999166666666667,7.383671180295296,15.198786823461326,3.88928762806429,19.088074451525614
selEnergyPerm,50,1275,3,79,6,5.057000000000016,8,0,1.0988761081349683,0.44833537739256363,0.9564583333333333,0.955833333333333,12.912392747276918,26.615184860779983,1.4982681653248804,28.113453026104864
Boruta,50,1275,4,79,7,13.104999999999961,9,0,0.9779041752634103,0.5263625742447043,0.8145833333333333,0.813333333333333,5.208940079878753,10.022131543001917,2.1913565777660944,12.213488120768012
LASSO,50,1275,4,79,3,0.9839999999999804,4,0,0.9727155085740864,0.5270503642475883,0.8204166666666667,0.8175,7.73533090250671,15.10502025288267,0.8881581535907271,15.993178406473396
RFE,50,1275,4,79,128,18.522999999999968,51,0.10144927536231885,0.9692671118663224,0.5662321339781768,0.671875,0.688333333333333,1.9359796209752318,2.886008388150561,1.2919446477705516,4.177953035921113
InformationGain,50,1275,4,79,12,0.4149999999999636,12,0,0.9714020426288682,0.5343342515492453,0.78375,0.783333333333333,4.284974148708864,7.364001627229929,7.916517577896498,15.280519205126428
selEnergyPerm,50,1275,4,79,10,4.336000000000013,14,0,0.977952293220154,0.532956331845865,0.7722916666666667,0.778333333333333,3.8370090606218987,6.802377790384211,0.07149280208504052,6.873870592469252
Boruta,50,1275,5,79,134,14.305999999999926,48,0.16390243902439025,0.8166006389305258,0.6345950861154038,0.5383333333333333,0.531666666666667,5.512092235635233,0.5845567039606017,441.28489069309734,441.86944739705797
LASSO,50,1275,5,79,1275,0.37199999999995725,51,1,0.783195704368333,0.6669361065782703,0.460625,0.551666666666667,4.52226041576588,0.3293854077897245,407.10147771099554,407.4308631187853
RFE,50,1275,5,79,256,17.588999999999942,51,0.2892030848329049,0.8128010368758429,0.6366888761082607,0.5145833333333334,0.4975,5.165611673311102,0.5183595870214399,363.9333435982375,364.45170318525896
InformationGain,50,1275,5,79,1051,0.46299999999996544,51,0.849851865568003,0.7890325029590541,0.6614410562161799,0.4739583333333333,0.530833333333333,4.738678757016724,0.35543126887590015,405.3501955423807,405.7056268112566
selEnergyPerm,50,1275,5,79,32,5.654999999999973,37,0,0.8303775697169311,0.6248278777253385,0.5358333333333334,0.536666666666667,4.756846077232345,0.7649011940290384,415.9404371909669,416.70533838499597
