method,Dims,totalRatios,Scenario,seed,numRatios,compTime_sec,NumParts,CluseringCoefficient,LogLoss,TrainlogLoss,TrainAUC,crossValAUC,energyF,meansF,dispF,combinedF
Boruta,250,31125,1,42,31125,8.928999999999998,250,1,0.6876564811050317,0.7579309848289402,0.435,0.575833333333333,1.8337256708050564,0.5326708974782748,986.7949231361356,987.3275940336139
LASSO,250,31125,1,42,31125,8.928999999999998,250,1,0.6876564811050317,0.7579309848289402,0.435,0.575833333333333,1.8337256708050564,0.5326708974782748,986.7949231361356,987.3275940336139
RFE,250,31125,1,42,2048,477.05699999999996,250,0.08695871351514846,0.8777885871602565,0.5920672548582283,0.8058333333333333,0.828333333333333,2.161314330093988,0.9913685710713361,747.2299257243028,748.2212942953742
InformationGain,250,31125,1,42,1494,10.276000000000092,242,0.07951326666281287,0.9500998732945044,0.5659046998526522,0.8520833333333333,0.858333333333333,3.104849905955399,1.4213046461786831,608.9720859671297,610.3933906133084
selEnergyPerm,250,31125,1,42,121,127.85199999999998,133,0,0.8952602720198968,0.5973713137930184,0.735,0.745,2.1480195101764465,1.2989569233044036,550.2945173075017,551.5934742308061
Boruta,250,31125,2,42,37,218.21000000000004,37,0.005964214711729622,1.2402075267711072,0.3587931195829623,0.9983333333333333,0.999166666666667,7.086036609477811,14.149451977266494,0.7424687812653791,14.891920758531873
LASSO,250,31125,2,42,15,17.31100000000015,20,0,1.2760288161740994,0.3349706790161996,1,1,16.757037036165823,37.831109670239634,0.6805566970635419,38.51166636730318
RFE,250,31125,2,42,4,406.53099999999995,5,0,1.2240273938812636,0.3693902354889645,1,1,34.64095103395316,94.78491129917877,0.5428099462756247,95.3277212454544
InformationGain,250,31125,2,42,1851,7.137000000000171,250,0.02859182580760307,1.0325290051907188,0.4734833131628985,0.9354166666666667,0.9425,1.4642255390599974,1.928337025416154,0.0034738043537557617,1.9318108297699097
selEnergyPerm,250,31125,2,42,9,115.31700000000001,10,0,1.2562554659742249,0.34984224141656484,1,1,29.25071775733946,79.97230424499746,0.00415624394931241,79.97646048894677
Boruta,250,31375,3,42,705,250.07499999999982,189,0,1.2728121852013454,0.3358968918350622,1,1,15.701937731699356,38.01688036152018,0.5274142742021619,38.544294635722345
LASSO,250,31375,3,42,43,19.47299999999973,46,0,1.2893680062088426,0.32652135517743724,1,1,18.933722012473623,47.80507332090809,4.232810625910952,52.03788394681904
RFE,250,31375,3,42,512,389.3789999999997,205,0.0012153950033760973,1.267589235892079,0.33859472197399665,1,1,13.363463427021257,31.24452803851128,1.671509747919127,32.91603778643041
InformationGain,250,31375,3,42,8383,8.58400000000006,251,0.01268336164794814,1.2635980819912531,0.3402855120624187,1,1,9.5201892835585,20.572855983228038,0.4428119138356129,21.01566789706365
selEnergyPerm,250,31375,3,42,4,113.76099999999997,5,0,1.1674747784783932,0.4039127339777703,0.9860416666666667,0.9875,28.43876249584018,72.6505523781447,0.09460566425500301,72.7451580423997
Boruta,250,31375,4,42,54,230.20199999999977,57,0,1.066236732585443,0.47666565430353325,0.8935416666666667,0.896666666666667,8.817787066110832,20.35253614292295,0.09225396311094801,20.4447901060339
LASSO,250,31375,4,42,3,19.10300000000052,4,0,1.0225792093677333,0.4945100361100858,0.8939583333333333,0.894166666666667,14.687841713116628,34.36962620040852,1.953037407459796,36.322663607868314
RFE,250,31375,4,42,16,467.4169999999999,22,0,1.0784062501521814,0.4635168480472345,0.9360416666666667,0.934166666666667,7.799693871246202,17.012043263843527,0.028084260372376418,17.040127524215904
InformationGain,250,31375,4,42,359,10.355000000000018,226,0.004488529313975396,1.1196897271378121,0.4319541464795569,0.98375,0.9825,5.920052238647086,12.381094828455685,1.2094070313534615,13.590501859809146
selEnergyPerm,250,31375,4,42,17,114.97299999999996,18,0,1.0212097552585293,0.5027345549761195,0.8722916666666667,0.871666666666667,11.562046115127238,26.372538556485498,2.5854260360066283,28.957964592492125
Boruta,250,31375,5,42,220,232.96000000000004,193,0,0.8148345205342397,0.6980469510625548,0.65125,0.654166666666667,6.18993849484282,0.7652313247155653,2091.885814200487,2092.6510455252023
LASSO,250,31375,5,42,31375,9.016000000000076,251,1,0.6372931395372551,0.9432704190620306,0.45,0.540833333333333,5.650192141975443,0.30185186731707236,3175.6309020026547,3175.9327538699717
RFE,250,31375,5,42,128,411.6909999999998,116,0.008928571428571428,0.8835789159974292,0.6298887891627967,0.7525000000000001,0.7775,6.491908094138992,1.256867142631903,1297.7026572344528,1298.9595243770846
InformationGain,250,31375,5,42,31103,12.1550000000002,251,0.9914582055875922,0.6385859842473436,0.9411808488063016,0.45166666666666666,0.54,5.659503329535168,0.3032818342719373,3182.6970061558236,3183.0002879900953
selEnergyPerm,250,31375,5,42,108,130.46600000000035,125,0,0.8316621812665627,0.6385604120513678,0.6554166666666666,0.659166666666667,5.801155204338765,0.546010698804869,2715.9143942627384,2716.460404961543
