Type,Seed,fname,rep,num_ratios,tstat,optMetric
empirical,5,diabimmune_f6,1,27,52.58711392455932,combinedF
null,5,diabimmune_f6,1,7,17.360729930160993,combinedF
null,5,diabimmune_f6,2,19,16.738821277742026,combinedF
null,5,diabimmune_f6,3,19,13.275340210061131,combinedF
null,5,diabimmune_f6,4,24,61.38536873428346,combinedF
null,5,diabimmune_f6,5,22,14.966300923920343,combinedF
null,5,diabimmune_f6,6,14,34.834522180817295,combinedF
null,5,diabimmune_f6,7,7,23.0921765247919,combinedF
null,5,diabimmune_f6,8,21,19.584751990101744,combinedF
null,5,diabimmune_f6,9,14,37.25642392764179,combinedF
null,5,diabimmune_f6,10,27,10.257210713910203,combinedF
null,5,diabimmune_f6,11,15,27.567307024917262,combinedF
null,5,diabimmune_f6,12,18,21.841534558797303,combinedF
null,5,diabimmune_f6,13,21,34.95540994685292,combinedF
null,5,diabimmune_f6,14,16,22.616825166363796,combinedF
null,5,diabimmune_f6,15,17,31.692266245024076,combinedF
null,5,diabimmune_f6,16,27,39.86168097670492,combinedF
null,5,diabimmune_f6,17,7,23.636422169626535,combinedF
null,5,diabimmune_f6,18,13,24.85993407712641,combinedF
null,5,diabimmune_f6,19,14,29.928262593993896,combinedF
null,5,diabimmune_f6,20,16,19.76112195381872,combinedF
null,5,diabimmune_f6,21,19,19.519365817947232,combinedF
null,5,diabimmune_f6,22,10,18.172964086251135,combinedF
null,5,diabimmune_f6,23,24,32.30409776886385,combinedF
null,5,diabimmune_f6,24,19,22.981254039463916,combinedF
null,5,diabimmune_f6,25,8,30.92003044158128,combinedF
null,5,diabimmune_f6,26,7,9.551251994537981,combinedF
null,5,diabimmune_f6,27,15,23.987271784123244,combinedF
null,5,diabimmune_f6,28,24,18.302397490041265,combinedF
null,5,diabimmune_f6,29,12,18.883616408739833,combinedF
null,5,diabimmune_f6,30,22,30.584812181322036,combinedF
null,5,diabimmune_f6,31,6,10.571807682585455,combinedF
null,5,diabimmune_f6,32,15,21.86378830449819,combinedF
null,5,diabimmune_f6,33,10,25.409213188454018,combinedF
null,5,diabimmune_f6,34,17,17.682856496044824,combinedF
null,5,diabimmune_f6,35,21,23.31569350612485,combinedF
null,5,diabimmune_f6,36,19,22.23532385147326,combinedF
null,5,diabimmune_f6,37,22,19.939969485800013,combinedF
null,5,diabimmune_f6,38,17,37.617997146343065,combinedF
null,5,diabimmune_f6,39,21,55.64220591347952,combinedF
null,5,diabimmune_f6,40,16,22.698087814185378,combinedF
null,5,diabimmune_f6,41,20,29.433641568327616,combinedF
null,5,diabimmune_f6,42,5,12.656795107128406,combinedF
null,5,diabimmune_f6,43,16,16.683743645348606,combinedF
null,5,diabimmune_f6,44,15,20.596291096424533,combinedF
null,5,diabimmune_f6,45,21,20.769715320832255,combinedF
null,5,diabimmune_f6,46,6,18.093399882723283,combinedF
null,5,diabimmune_f6,47,6,20.37729016075207,combinedF
null,5,diabimmune_f6,48,11,20.225962412515823,combinedF
null,5,diabimmune_f6,49,19,22.342782332439235,combinedF
null,5,diabimmune_f6,50,27,34.008130130209835,combinedF
null,5,diabimmune_f6,51,27,22.03731393619102,combinedF
null,5,diabimmune_f6,52,9,15.11622675820856,combinedF
null,5,diabimmune_f6,53,15,28.358724066820415,combinedF
null,5,diabimmune_f6,54,11,32.010353972033705,combinedF
null,5,diabimmune_f6,55,10,19.00162714278769,combinedF
null,5,diabimmune_f6,56,10,21.431811416062676,combinedF
null,5,diabimmune_f6,57,13,26.589172021566057,combinedF
null,5,diabimmune_f6,58,4,15.250038528459065,combinedF
null,5,diabimmune_f6,59,27,12.578429684250779,combinedF
null,5,diabimmune_f6,60,13,20.8921530816247,combinedF
