Type,Seed,fname,rep,num_ratios,tstat,optMetric
empirical,6,pih,1,10,36.52098056570011,combinedF
null,6,pih,1,10,3.5021863743932165,combinedF
null,6,pih,2,10,3.23493996090296,combinedF
null,6,pih,3,10,6.242102226930379,combinedF
null,6,pih,4,10,6.1223907451332416,combinedF
null,6,pih,5,10,5.67273163857835,combinedF
null,6,pih,6,10,12.232266451769442,combinedF
null,6,pih,7,10,10.917152597714718,combinedF
null,6,pih,8,10,5.515168371120854,combinedF
null,6,pih,9,10,1.9989247814580486,combinedF
null,6,pih,10,10,2.0484362382633146,combinedF
null,6,pih,11,10,7.873975560594239,combinedF
null,6,pih,12,10,3.6534702624920463,combinedF
null,6,pih,13,10,8.379039917048537,combinedF
null,6,pih,14,10,13.211129793562034,combinedF
null,6,pih,15,10,0.9151974536118007,combinedF
null,6,pih,16,10,1.7245289011023166,combinedF
null,6,pih,17,10,15.593409151205242,combinedF
null,6,pih,18,10,1.862173228567122,combinedF
null,6,pih,19,10,24.99779632674523,combinedF
null,6,pih,20,10,11.853579144612262,combinedF
null,6,pih,21,10,7.523836429913796,combinedF
null,6,pih,22,10,1.3362841408543022,combinedF
null,6,pih,23,10,2.561006035461325,combinedF
null,6,pih,24,10,7.340821893172993,combinedF
null,6,pih,25,10,8.76730425811948,combinedF
null,6,pih,26,10,0.17468217752867748,combinedF
null,6,pih,27,10,3.426908993286499,combinedF
null,6,pih,28,10,9.094229900102064,combinedF
null,6,pih,29,10,7.128622473325214,combinedF
null,6,pih,30,10,5.715103747401185,combinedF
null,6,pih,31,10,7.058301052830299,combinedF
null,6,pih,32,10,3.5921810910239755,combinedF
null,6,pih,33,10,1.8448431356058062,combinedF
null,6,pih,34,10,3.560287575130171,combinedF
null,6,pih,35,10,7.552880581069985,combinedF
null,6,pih,36,10,8.289577245855364,combinedF
null,6,pih,37,10,3.960231746377682,combinedF
null,6,pih,38,10,11.905799200373176,combinedF
null,6,pih,39,10,8.489566593829299,combinedF
null,6,pih,40,10,2.3303226824273118,combinedF
null,6,pih,41,10,-0.046720749849335386,combinedF
null,6,pih,42,7,20.111586288942984,combinedF
null,6,pih,43,10,24.10069087903554,combinedF
null,6,pih,44,10,15.74731886058128,combinedF
null,6,pih,45,10,7.692882384119558,combinedF
null,6,pih,46,10,11.896179618352555,combinedF
null,6,pih,47,10,15.15174298646788,combinedF
null,6,pih,48,10,11.792709075682602,combinedF
null,6,pih,49,10,4.723412395252275,combinedF
null,6,pih,50,10,8.689858109502218,combinedF
null,6,pih,51,10,0.2880186683070261,combinedF
null,6,pih,52,10,8.476173028262785,combinedF
null,6,pih,53,10,8.553549459155166,combinedF
null,6,pih,54,10,9.276347914295089,combinedF
null,6,pih,55,10,8.553243780599477,combinedF
null,6,pih,56,10,16.515359874973232,combinedF
null,6,pih,57,10,12.06531345441789,combinedF
null,6,pih,58,10,8.113733949856973,combinedF
null,6,pih,59,10,1.0894300766986826,combinedF
null,6,pih,60,10,4.585614854455123,combinedF
null,6,pih,61,10,1.3923743261818684,combinedF
null,6,pih,62,10,10.508169815157306,combinedF
null,6,pih,63,10,4.198407666325262,combinedF
null,6,pih,64,10,10.60679602428026,combinedF
null,6,pih,65,7,11.029182817557633,combinedF
null,6,pih,66,10,12.894465743843314,combinedF
null,6,pih,67,10,5.720294531357463,combinedF
null,6,pih,68,10,3.179234438498457,combinedF
null,6,pih,69,10,6.717380198844939,combinedF
null,6,pih,70,10,3.8449268978532096,combinedF
null,6,pih,71,10,7.158260003123013,combinedF
null,6,pih,72,10,5.74380409611916,combinedF
null,6,pih,73,10,8.244293088698088,combinedF
null,6,pih,74,10,3.483721255838206,combinedF
null,6,pih,75,10,12.540167515655561,combinedF
null,6,pih,76,10,12.249391535277363,combinedF
null,6,pih,77,10,4.315423071531796,combinedF
null,6,pih,78,10,8.002617378390926,combinedF
null,6,pih,79,10,14.324757044540103,combinedF
null,6,pih,80,10,6.976995181362659,combinedF
null,6,pih,81,10,20.18527049653011,combinedF
null,6,pih,82,10,7.161931516923947,combinedF
null,6,pih,83,10,5.401314794519147,combinedF
null,6,pih,84,10,11.998934889995025,combinedF
null,6,pih,85,10,3.446043623850632,combinedF
null,6,pih,86,10,11.698343409852708,combinedF
null,6,pih,87,10,10.44457160827788,combinedF
null,6,pih,88,10,2.0080976220640077,combinedF
null,6,pih,89,10,3.609513367955514,combinedF
null,6,pih,90,10,2.4935720268822616,combinedF
null,6,pih,91,10,12.035837260384605,combinedF
null,6,pih,92,10,3.72507404412909,combinedF
null,6,pih,93,10,8.39283654127527,combinedF
null,6,pih,94,10,5.652711215532992,combinedF
null,6,pih,95,10,10.65429728100472,combinedF
null,6,pih,96,10,5.6955880305967455,combinedF
null,6,pih,97,10,6.906498142013085,combinedF
null,6,pih,98,10,7.3514400216697,combinedF
null,6,pih,99,10,3.0693279637315167,combinedF
null,6,pih,100,10,5.378055138679718,combinedF
