numRatios,compTime,Statistic,Value,Seed,permNumber,type,test,p,scenario,sampleDesign,dimensions
1225,9.317,permanovaF,0.9912055395630791,1,150,Empirical,PERMANOVA,0.4768211920529801,scenario1,Balanced,50
1225,10.582999999999998,permanovaF,1.6233261410456525,1,150,Empirical,PERMANOVA,0.006622516556291391,scenario2,Balanced,50
1275,10.800000000000011,permanovaF,0.7161737346351451,1,150,Empirical,PERMANOVA,0.9403973509933775,scenario3,Balanced,50
1275,10.664999999999992,permanovaF,0.8012650375945223,1,150,Empirical,PERMANOVA,0.8211920529801324,scenario4,Balanced,50
1225,12.294999999999987,permanovaF,1.409252698907806,1,150,Empirical,PERMANOVA,0.026490066225165563,scenario1,Unbalanced,50
1225,8.885999999999967,permanovaF,1.3726150475404597,1,150,Empirical,PERMANOVA,0.046357615894039736,scenario2,Unbalanced,50
1275,11.213999999999999,permanovaF,0.8477126969603714,1,150,Empirical,PERMANOVA,0.7947019867549668,scenario3,Unbalanced,50
1275,12.143000000000029,permanovaF,0.8348486874127387,1,150,Empirical,PERMANOVA,0.8079470198675497,scenario4,Unbalanced,50
11175,16.112000000000023,permanovaF,1.0451399076366488,1,150,Empirical,PERMANOVA,0.2913907284768212,scenario1,Balanced,150
11175,10.829999999999984,permanovaF,0.8690334730366355,1,150,Empirical,PERMANOVA,0.9006622516556292,scenario2,Balanced,150
11325,16.241999999999962,permanovaF,1.1357134396918622,1,150,Empirical,PERMANOVA,0.07947019867549669,scenario3,Balanced,150
11325,10.393999999999949,permanovaF,1.0779030685225577,1,150,Empirical,PERMANOVA,0.2185430463576159,scenario4,Balanced,150
11175,12.383000000000038,permanovaF,0.9960557658854519,1,150,Empirical,PERMANOVA,0.46357615894039733,scenario1,Unbalanced,150
11175,14.702999999999975,permanovaF,1.0596619185565224,1,150,Empirical,PERMANOVA,0.271523178807947,scenario2,Unbalanced,150
11325,13.141999999999996,permanovaF,1.0295859202801099,1,150,Empirical,PERMANOVA,0.3973509933774834,scenario3,Unbalanced,150
11325,14.27299999999991,permanovaF,0.9989870280290236,1,150,Empirical,PERMANOVA,0.5298013245033113,scenario4,Unbalanced,150
31125,16.400999999999954,permanovaF,0.923704266989587,1,150,Empirical,PERMANOVA,0.8079470198675497,scenario1,Balanced,250
31125,19.005999999999972,permanovaF,0.8646664591220468,1,150,Empirical,PERMANOVA,0.9205298013245033,scenario2,Balanced,250
31375,14.575000000000045,permanovaF,1.0343609677951695,1,150,Empirical,PERMANOVA,0.3443708609271523,scenario3,Balanced,250
31375,14.600000000000023,permanovaF,1.0340445273229024,1,150,Empirical,PERMANOVA,0.33112582781456956,scenario4,Balanced,250
31125,14.674000000000092,permanovaF,1.0184257117696072,1,150,Empirical,PERMANOVA,0.423841059602649,scenario1,Unbalanced,250
31125,14.501999999999953,permanovaF,1.2434223597694747,1,150,Empirical,PERMANOVA,0.033112582781456956,scenario2,Unbalanced,250
31375,14.203000000000088,permanovaF,1.0931731673687484,1,150,Empirical,PERMANOVA,0.16556291390728478,scenario3,Unbalanced,250
31375,14.778999999999996,permanovaF,1.1197485616015639,1,150,Empirical,PERMANOVA,0.12582781456953643,scenario4,Unbalanced,250
1225,9.425999999999995,permanovaF,1.1677066567120298,2,150,Empirical,PERMANOVA,0.2251655629139073,scenario1,Balanced,50
