numRatios,compTime,Statistic,Value,Seed,permNumber,type,test,p,scenario,sampleDesign,dimensions,methStat,reject,Distr
11175,6.327000000000002,permDispF,756.63033505528006,10,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Unbalanced,150,PERMDISP2,1,different
101,5459.901000000001,testStat,426.34166903404974,10,150,Empirical,selProPerm,0.006622516556291391,scenario1,Unbalanced,150,selEnergyPerm,1,different
31125,1.9750000000000085,R,-0.8037568027210885,10,150,Empirical,ANOSIM,1,scenario1,Unbalanced,250,ANOSIM,0,different
31125,370.02,estat,709.5679544966079,10,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Unbalanced,250,Energy,1,different
31125,6.515000000000036,permDispF,1016.3680200293888,10,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Unbalanced,250,PERMDISP2,1,different
124,15300.55,testStat,974.2356655188224,10,150,Empirical,selProPerm,0.006622516556291391,scenario1,Unbalanced,250,selEnergyPerm,1,different
1225,1.309000000000001,R,-0.6383197278911564,10,150,Empirical,ANOSIM,1,scenario1,Unbalanced,50,ANOSIM,0,different
1225,14.931999999999999,estat,245.97941610703919,10,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Unbalanced,50,Energy,1,different
1225,6.1419999999999995,permDispF,261.24780484230473,10,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Unbalanced,50,PERMDISP2,1,different
35,1958.916,testStat,194.13610608282005,10,150,Empirical,selProPerm,0.006622516556291391,scenario1,Unbalanced,50,selEnergyPerm,1,different
11175,1.4330000000000034,R,0.006483974358974293,100,150,Empirical,ANOSIM,0.11258278145695365,scenario1,Balanced,150,ANOSIM,0,different
11175,133.99,estat,630.0425873770337,100,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Balanced,150,Energy,1,different
11175,6.217999999999996,permDispF,1508.9758233735363,100,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Balanced,150,PERMDISP2,1,different
73,5116.684,testStat,976.5895863897399,100,150,Empirical,selProPerm,0.006622516556291391,scenario1,Balanced,150,selEnergyPerm,1,different
31125,1.8629999999999995,R,0.0058766025641025866,100,150,Empirical,ANOSIM,0.07947019867549669,scenario1,Balanced,250,ANOSIM,0,different
31125,348.53900000000004,estat,938.2531609093576,100,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Balanced,250,Energy,1,different
31125,6.172000000000008,permDispF,1298.216324151179,100,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Balanced,250,PERMDISP2,1,different
95,14808.313,testStat,1738.8831688924242,100,150,Empirical,selProPerm,0.006622516556291391,scenario1,Balanced,250,selEnergyPerm,1,different
1225,1.2379999999999995,R,0.0811770833333333,100,150,Empirical,ANOSIM,0.006622516556291391,scenario1,Balanced,50,ANOSIM,1,different
1225,15.297999999999998,estat,330.20808664388983,100,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Balanced,50,Energy,1,different
1225,5.9410000000000025,permDispF,529.8636585548295,100,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Balanced,50,PERMDISP2,1,different
31,2106.424,testStat,202.8004724197943,100,150,Empirical,selProPerm,0.006622516556291391,scenario1,Balanced,50,selEnergyPerm,1,different
11175,1.7429999999999986,R,-0.791687925170068,100,150,Empirical,ANOSIM,1,scenario1,Unbalanced,150,ANOSIM,0,different
11175,128.428,estat,485.49137341572566,100,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Unbalanced,150,Energy,1,different
11175,4.499999999999989,permDispF,790.1429560552723,100,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Unbalanced,150,PERMDISP2,1,different
79,4092.864,testStat,442.526232345792,100,150,Empirical,selProPerm,0.006622516556291391,scenario1,Unbalanced,150,selEnergyPerm,1,different
31125,2.2580000000000098,R,-0.8022508503401362,100,150,Empirical,ANOSIM,1,scenario1,Unbalanced,250,ANOSIM,0,different
31125,315.20799999999997,estat,709.5597783853098,100,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Unbalanced,250,Energy,1,different
31125,5.014000000000038,permDispF,1073.0437267024229,100,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Unbalanced,250,PERMDISP2,1,different
127,10154.985,testStat,596.3983129756859,100,150,Empirical,selProPerm,0.006622516556291391,scenario1,Unbalanced,250,selEnergyPerm,1,different
1225,0.8379999999999974,R,-0.7036709183673471,100,150,Empirical,ANOSIM,1,scenario1,Unbalanced,50,ANOSIM,0,different
1225,9.549000000000003,estat,253.90404317280738,100,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Unbalanced,50,Energy,1,different
1225,3.971,permDispF,367.7615905248245,100,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Unbalanced,50,PERMDISP2,1,different
28,1836.862,testStat,159.76885242306432,100,150,Empirical,selProPerm,0.006622516556291391,scenario1,Unbalanced,50,selEnergyPerm,1,different
11175,1.4300000000000033,R,0.00593669871794873,11,150,Empirical,ANOSIM,0.08609271523178808,scenario1,Balanced,150,ANOSIM,0,different
11175,140.358,estat,627.8030679726072,11,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Balanced,150,Energy,1,different
11175,5.875000000000007,permDispF,1564.3272220479173,11,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Balanced,150,PERMDISP2,1,different
83,5068.177,testStat,854.7990257243283,11,150,Empirical,selProPerm,0.006622516556291391,scenario1,Balanced,150,selEnergyPerm,1,different
31125,2.539999999999999,R,0.005645032051282076,11,150,Empirical,ANOSIM,0.11920529801324503,scenario1,Balanced,250,ANOSIM,0,different
31125,444.298,estat,919.1945945653345,11,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Balanced,250,Energy,1,different
31125,7.3179999999999765,permDispF,1396.2847088673611,11,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Balanced,250,PERMDISP2,1,different
101,11542.594000000001,testStat,1559.2005117408357,11,150,Empirical,selProPerm,0.006622516556291391,scenario1,Balanced,250,selEnergyPerm,1,different
1225,1.3709999999999951,R,0.07684054487179488,11,150,Empirical,ANOSIM,0.006622516556291391,scenario1,Balanced,50,ANOSIM,1,different
1225,16.028,estat,285.1635882904593,11,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Balanced,50,Energy,1,different
1225,6.131999999999998,permDispF,462.75431055249953,11,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Balanced,50,PERMDISP2,1,different
32,2008.7730000000001,testStat,278.28683688407483,11,150,Empirical,selProPerm,0.006622516556291391,scenario1,Balanced,50,selEnergyPerm,1,different
11175,1.7820000000000036,R,-0.8018435374149658,11,150,Empirical,ANOSIM,1,scenario1,Unbalanced,150,ANOSIM,0,different
11175,134.258,estat,482.4283071682382,11,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Unbalanced,150,Energy,1,different
11175,6.177000000000003,permDispF,1213.79673607036,11,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Unbalanced,150,PERMDISP2,1,different
86,5118.289,testStat,662.7500548801812,11,150,Empirical,selProPerm,0.006622516556291391,scenario1,Unbalanced,150,selEnergyPerm,1,different
31125,1.426000000000002,R,-0.8046003401360544,11,150,Empirical,ANOSIM,1,scenario1,Unbalanced,250,ANOSIM,0,different
31125,280.841,estat,717.910830236138,11,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Unbalanced,250,Energy,1,different
31125,4.288999999999991,permDispF,1330.933182985617,11,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Unbalanced,250,PERMDISP2,1,different
109,9520.112000000001,testStat,1291.7976954525977,11,150,Empirical,selProPerm,0.006622516556291391,scenario1,Unbalanced,250,selEnergyPerm,1,different
1225,1.3549999999999969,R,-0.6292261904761904,11,150,Empirical,ANOSIM,1,scenario1,Unbalanced,50,ANOSIM,0,different
1225,13.039000000000005,estat,211.15868265265075,11,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Unbalanced,50,Energy,1,different
1225,5.575999999999997,permDispF,205.9449219890719,11,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Unbalanced,50,PERMDISP2,1,different
37,1785.578,testStat,178.22243335198758,11,150,Empirical,selProPerm,0.006622516556291391,scenario1,Unbalanced,50,selEnergyPerm,1,different
11175,1.5989999999999966,R,0.007021634615384726,12,150,Empirical,ANOSIM,0.12582781456953643,scenario1,Balanced,150,ANOSIM,0,different
11175,155.677,estat,686.151921197897,12,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Balanced,150,Energy,1,different
11175,6.588999999999995,permDispF,1570.5592511501272,12,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Balanced,150,PERMDISP2,1,different
96,6051.4130000000005,testStat,1092.7831817017925,12,150,Empirical,selProPerm,0.006622516556291391,scenario1,Balanced,150,selEnergyPerm,1,different
31125,1.2399999999999984,R,0.004482371794871672,12,150,Empirical,ANOSIM,0.15894039735099338,scenario1,Balanced,250,ANOSIM,0,different
31125,228.61200000000002,estat,921.1065842922858,12,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Balanced,250,Energy,1,different
31125,3.918000000000003,permDispF,1398.5819139115738,12,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Balanced,250,PERMDISP2,1,different
111,14444.525,testStat,1269.2616370227076,12,150,Empirical,selProPerm,0.006622516556291391,scenario1,Balanced,250,selEnergyPerm,1,different
